p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,hardship,contact,t1,t2,t3,t4,t5,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,utility,id
7,7,7,7,7,4,4,7,4,7,5,4,7,7,4,3,4,1,2,2,1,1,1,1,1,1,2,2,1,1,AU01,86
7,7,7,7,7,6,5,6,5,6,3,1,7,7,7,3,3,5,7,5,7,5,7,6,4,6,4,7,5,6,AU01,87
7,7,3,7,1,4,5,6,4,5,1,1,6,6,6,6,5,4,5,4,5,4,4,4,4,5,4,5,4,4,AU01,89
7,7,7,7,7,5,4,7,5,6,1,1,7,5,6,1,3,5,6,5,6,5,3,4,4,2,5,5,5,3,AU01,90
7,7,7,7,7,4,4,7,4,6,4,1,7,7,7,7,7,6,7,4,7,4,7,4,4,7,4,7,4,4,AU01,91
7,7,5,7,7,4,4,5,4,4,2,2,6,6,6,6,5,6,6,6,6,6,5,6,4,5,5,5,6,6,AU01,92
7,5,7,7,7,4,4,4,4,4,4,1,7,6,6,5,6,4,6,6,6,5,5,6,5,4,6,6,5,5,AU01,93
7,7,7,7,7,4,4,4,4,4,6,1,7,6,6,5,7,4,7,4,6,4,4,4,4,2,4,6,4,4,AU01,94
7,7,7,7,7,7,7,7,7,7,1,1,7,7,7,7,7,4,7,4,7,4,4,4,4,4,4,7,4,3,AU01,95
7,7,7,7,7,7,4,6,4,4,3,2,7,7,6,7,7,4,7,5,7,5,4,5,4,5,5,5,5,5,AU01,96
6,5,5,6,5,4,4,4,4,4,5,2,6,6,6,4,6,6,6,5,5,5,6,6,6,4,6,6,4,4,AU01,97
7,6,4,7,7,4,4,4,4,4,6,2,7,7,7,7,7,7,7,7,7,6,7,7,6,7,6,6,7,7,AU01,98
7,6,5,7,7,6,5,4,5,4,3,1,7,6,6,6,6,5,4,4,7,4,4,4,4,3,4,5,4,5,AU01,99
7,6,6,7,7,5,6,6,4,5,5,2,5,3,2,2,4,3,4,4,4,4,4,4,4,2,4,5,4,4,AU01,100
7,7,1,7,7,6,6,6,4,7,2,1,7,3,5,2,7,6,5,5,6,4,4,4,4,2,4,6,4,6,AU01,101
6,6,4,2,6,2,2,2,2,4,5,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,AU01,102
7,6,6,7,7,4,4,5,5,5,3,2,6,6,4,6,6,5,6,6,6,5,6,6,6,5,6,6,6,6,AU01,103
