Easting,Northing,Depth
352579.2,4386667,25.2
352140.4,4386667,3.3
352165.1,4386668,3.6
352159,4386668,3.4
352555.3,4386668,51.2
352160.4,4386668,3.4
352507.5,4386668,70.9
352156.2,4386668,3.2
352893.4,4386668,49.4
352154.3,4386668,3.1
352827.2,4386668,93.3
352860,4386668,79
352140.3,4386669,2.9
352754.2,4386669,28.2
352167.2,4386669,3.3
352438.5,4386669,11.4
352489.3,4386669,65.8
352597,4386669,5.9
352450.8,4386669,23.1
352740.3,4386669,15.4
352140.9,4386670,2.8
352742.6,4386670,14.6
352555.4,4386670,48.1
352898.6,4386670,47
352811.5,4386670,93
352169.9,4386670,3.1
352744.9,4386671,13.7
352147.5,4386671,4.4
352756.3,4386671,30.9
352891.4,4386671,59.9
352593.9,4386671,6.7
352575.4,4386671,25.4
352142.2,4386672,2.8
352142.9,4386672,4
352144.8,4386672,4.7
352148.1,4386672,4.9
352824.5,4386672,93.7
352591,4386673,7.1
352823.5,4386673,93.4
352448.1,4386673,22.8
352811.7,4386673,92.8
352904.8,4386673,43.1
352760.1,4386673,28.7
352171.8,4386673,3.9
352748.2,4386674,11.8
352508.1,4386674,71
352435.5,4386674,11.9
352172.3,4386675,4.3
352908.2,4386675,42.6
352489,4386675,66.4
352859.4,4386675,90.8
352821.1,4386676,89
352556,4386676,44.9
352148.8,4386676,4.9
352172.4,4386676,5.4
352888.3,4386676,64.9
352446.8,4386676,20.7
352912.6,4386677,41.5
353044.8,4386677,4.8
352434.1,4386677,11.9
352765.5,4386677,27.4
352888,4386677,71.1
352812.1,4386677,92.6
352585.7,4386677,7.9
353043.2,4386678,4.8
352569.3,4386678,24.5
352752.2,4386678,10.1
352150.2,4386678,4.6
352751.6,4386678,10.4
352769.5,4386679,29.5
353048,4386679,7.4
353047.6,4386679,6.2
352556.4,4386679,38.3
352508.6,4386679,71
353048.4,4386679,6.2
352859,4386679,95.1
352886.7,4386679,77.8
352916,4386679,42.1
353042.8,4386679,5.1
352444.1,4386680,19.5
352754.2,4386680,9.4
352812.6,4386680,87.6
352152.7,4386680,5.1
352818.6,4386680,82.8
353046.5,4386680,6.2
352488.9,4386680,67.2
352432.5,4386681,12.1
353047.3,4386681,8.8
352154.9,4386681,5.4
352962.9,4386681,5.3
352919.3,4386681,42.7
